id,label,prediction,probability,input_text
1,0,1,0.5911703705787659,unflinchingly bleak and desperate 
6,0,1,0.5405111312866211,a sometimes tedious film . 
13,1,0,0.5746136903762817,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
20,0,1,0.5738046765327454,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . "
22,0,1,0.6366816759109497,holden caulfield did it better . 
26,0,1,0.5344918370246887,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . "
33,0,1,0.5818005204200745,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . "
37,0,1,0.7053791284561157,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . "
45,0,1,0.5124163031578064,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
46,0,1,0.8382211327552795,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
50,0,1,0.5445092916488647,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
58,0,1,0.6588773727416992,manages to be both repulsively sadistic and mundane . 
64,0,1,0.626365602016449,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . "
70,0,1,0.6114062070846558,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
83,1,0,0.5702517628669739,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.5641405582427979,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
88,1,0,0.552778422832489,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 
90,1,0,0.6286641955375671,"it 's a scattershot affair , but when it hits its mark it 's brilliant . "
92,0,1,0.6207942962646484,"you wo n't like roger , but you will quickly recognize him . "
95,0,1,0.7225363254547119,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
96,0,1,0.5745090842247009,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . "
97,1,0,0.556751012802124,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . "
101,0,1,0.5722565650939941,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . "
106,1,0,0.5603858232498169,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 
110,0,1,0.6998223066329956,"scores no points for originality , wit , or intelligence . "
112,1,0,0.6204832196235657,hilariously inept and ridiculous . 
115,0,1,0.8221862316131592,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.6361229419708252,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
124,1,0,0.5453993082046509,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . "
130,0,1,0.6291876435279846,suffers from the lack of a compelling or comprehensible narrative . 
133,0,1,0.566048264503479,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . "
136,0,1,0.7469584941864014,looks and feels like a project better suited for the small screen . 
140,0,1,0.6323217749595642,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . 
147,0,1,0.592875063419342,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 
159,1,0,0.7459311485290527,"like leon , it 's frustrating and still oddly likable . "
166,0,1,0.8050325512886047,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . "
172,1,0,0.7247794270515442,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
176,0,1,0.6488667726516724,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . "
183,0,1,0.8081235885620117,"the lower your expectations , the more you 'll enjoy it . "
187,1,0,0.6373752355575562,` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' 
192,1,0,0.5939242243766785,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . "
