id,label,prediction,probability,input_text
1,0,1,0.6447324752807617,"Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war . | His wife said he was "" 100 percent behind George Bush "" and looked forward to using his years of training in the war ."
2,0,1,0.7668302059173584,"The dollar was at 116.92 yen against the yen , flat on the session , and at 1.2891 against the Swiss franc , also flat . | The dollar was at 116.78 yen JPY = , virtually flat on the session , and at 1.2871 against the Swiss franc CHF = , down 0.1 percent ."
4,0,1,0.7172465324401855,"No dates have been set for the civil or the criminal trial . | No dates have been set for the criminal or civil cases , but Shanley has pleaded not guilty ."
6,0,1,0.7773901224136353,"While dioxin levels in the environment were up last year , they have dropped by 75 percent since the 1970s , said Caswell . | The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s ."
11,0,1,0.8517218232154846,""" Sanitation is poor ... there could be typhoid and cholera , "" he said . | "" Sanitation is poor , drinking water is generally left behind . . . there could be typhoid and cholera . """
21,1,0,0.6552790403366089,"Last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion . | At the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion ."
22,0,1,0.7461804151535034,"The driver , Eugene Rogers , helped to remove children from the bus , Wood said . | At the accident scene , the driver was "" covered in blood "" but helped to remove children , Wood said ."
25,1,0,0.6086713671684265,"Its closest living relatives are a family frogs called sooglossidae that are found only in the Seychelles in the Indian Ocean . | Its closest relative is found in the Seychelles Archipelago , near Madagascar in the Indian Ocean ."
26,0,1,0.7073595523834229,Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo . | Lee Boyd Malvo will be called as a witness Wednesday in a pretrial hearing for fellow sniper suspect John Allen Muhammad .
30,0,1,0.6331631541252136,"With these assets , Funny Cide has a solid chance to become the first Triple Crown winner since Affirmed in 1978 . | Funny Cide is looking to become horse racing 's first Triple Crown winner in a generation ."
35,0,1,0.8458157777786255,"Bush wanted "" to see an aircraft landing the same way that the pilots saw an aircraft landing , "" White House press secretary Ari Fleischer said yesterday . | On Tuesday , before Byrd 's speech , Fleischer said Bush wanted ' ' to see an aircraft landing the same way that the pilots saw an aircraft landing ."
36,0,1,0.6690506935119629,"On Monday the Palestinian Prime Minister , Mahmoud Abbas , will report to the Palestinian parliament on his Government 's achievements in its first 100 days in office . | Palestinian Prime Minister Mahmoud Abbas must defend the record of his first 100 days in office before Parliament today as the death toll in the occupied territories continues to rise ."
37,0,1,0.8319173455238342,"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000 . | The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation 's economic health ."
40,0,1,0.6642869710922241,"SARS has killed about 800 people and affected more than 8400 since being detected in China in November . | SARS has killed about 800 people and sickened more than 8,400 worldwide , mostly in Asia ."
42,0,1,0.7043212056159973,""" Jeremy 's a good guy , "" Barber said , adding : "" Jeremy is living the dream life of the New York athlete . | He also said Shockey is "" living the dream life of a New York athlete ."
56,1,0,0.6265041828155518,"In the 2002 study , the margin of error ranged from 1.8 to 4.4 percentage points . | It has a margin of error of plus or minus three to four percentage points ."
60,0,1,0.7596933245658875,"Terri Schiavo , 39 , is expected to die sometime in the next two weeks in the Tampa-area hospice where she has spent the past several years . | Terri Schiavo , 39 , underwent the procedure at the Tampa Bay area hospice where she has been living for several years , said her father , Bob Schindler ."
65,0,1,0.5359075665473938,"The Dow Jones industrial average ended the day down 10.89 at 9,837.94 , after advancing 111.04 Wednesday . | The Dow Jones industrial average fell 10.89 points , or 0.11 percent , to 9,837.94 ."
68,0,1,0.8682253956794739,""" Biotech products , if anything , may be safer than conventional products because of all the testing , "" Fraley said , adding that 18 countries have adopted biotechnology . | "" Biotech products , if anything , may be safer than conventional products because of all the testing , "" said Robert Fraley , Monsanto 's executive vice president ."
76,0,1,0.5818673372268677,"McCabe said he was considered a witness , not a suspect . | "" He is not considered a suspect , "" McCabe said ."
80,0,1,0.5456852316856384,"On Saturday , a 149mph serve against Agassi equalled Rusedski 's world record . | On Saturday , Roddick equalled the world record with a 149 m.p.h. serve in beating Andre Agassi ."
83,0,1,0.7094337344169617,Danbury prosecutor Warren Murray could not be reached for comment Monday . | Prosecutors could not be reached for comment after the legal papers were obtained late Monday afternoon .
85,0,1,0.6618719696998596,"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters . | "" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for fabricating stories _ debuted well with $ 80,000 in eight theaters ."
87,0,1,0.6425838470458984,"However , EPA officials would not confirm the 20 percent figure . | Only in the past few weeks have officials settled on the 20 percent figure ."
90,0,1,0.8478488326072693,"However , Lapidus expects foreign brands ' sales to be up 4 percent , driven by strong truck sales at Honda Motor Co . | Lapidus expects Ford to be down 5 percent , Chrysler down 10 percent and foreign brands up 4 percent driven by strong truck sales at Honda ."
93,0,1,0.8530482053756714,"Indonesia 's army has often been accused of human rights abuses during GAM 's battle for independence , charges it has generally denied while accusing the separatists of committing rights violations . | Indonesia 's army has been accused of human rights abuses during its earlier battles with GAM , charges it has generally denied ."
96,0,1,0.6192328333854675,The reports helped overcome investor jitters after the euro briefly hit an all-time high against the dollar Tuesday . | Stocks slipped at the open after the euro hit record highs against the dollar .
104,0,1,0.8476445078849792,""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said . | "" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."
114,0,1,0.7971283197402954,"Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year . | Statistics from the Kansas Department of Health and Environment show that 11,844 abortions were performed in the state last year ."
115,0,1,0.8246690034866333,"A European Union spokesman said the Commission was consulting EU member states "" with a view to taking appropriate action if necessary "" on the matter . | Laos 's second most important export destination - said it was consulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter ."
121,1,0,0.5593926906585693,Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities . | Gagne struck out two in a perfect ninth inning for his 23rd save .
122,0,1,0.5699548721313477,"One way or another , Harry Potter And The Order Of The Phoenix will be in your hands by Saturday . | Just about everything about "" Harry Potter and the Order of the Phoenix "" will set records ."
131,0,1,0.8218466639518738,He allegedly told his ex-wife in an angry phone call that he had no intention of following their new custody agreement . | The two had battled over custody and he allegedly told her in an angry phone call that he had no intention of following their new custody agreement .
132,1,0,0.5238767862319946,"Worldwide , more than 50 million people have seen "" Les Miz , "" with gross receipts of $ 1.8 billion . | Worldwide , Les Misérables has been seen by over 50 million people , with a total gross of over $ 2 billion ."
133,0,1,0.704909086227417,"In fiction : Edward P. Jones ( "" The Known World "" ) and Scott Spencer ( "" A Ship Made of Paper "" ) . | The fifth nominee for fiction is Scott Spencer , for A Ship Made of Paper ."
136,0,1,0.7368806004524231,"Vivace was founded in 1999 and has raised over $ 118 million in three rounds of venture financing . | During difficult times for technology venture capital , Vivace raised over $ 118 million in three rounds of venture financing ."
137,0,1,0.61970055103302,"The Dow Jones industrial average < .DJI > added 28 points , or 0.27 percent , at 10,557 , hitting its highest level in 21 months . | The Dow Jones industrial average < .DJI > rose 49 points , or 0.47 percent , to 10,578 ."
139,0,1,0.8440706729888916,Sun Microsystems Inc. on Thursday said it had added 100 new third-party systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition . | The vendor has added 100 new third-party systems and 100 new components to the operating system 's Hardware Compatibility List ( HCL ) .
141,0,1,0.8284873962402344,The Neighbours star and singer spent yesterday resting at her family home in Sydney and will have more tests today . | Goodrem spent yesterday resting in her family home in Sydney and will have more tests today to determine her exact treatment .
144,0,1,0.787847638130188,""" It is bad for Symbian , "" said Per Lindberg , analyst at Dresdner Kleinwort Wasserstein . | "" Motorola has displayed clear disloyalty "" to Symbian , said Per Lindberg , an analyst at Dresdner Kleinwort Wasserstein in London ."
145,0,1,0.6195139288902283,"Bob Richter , a spokesman for House Speaker Tom Craddick , had no comment about the ruling . | Bob Richter , spokesman for Craddick , R-Midland , said the speaker had not seen the ruling and could not comment ."
150,0,1,0.6621901392936707,"President Bush raised a record-breaking $ 49.5 million for his re-election campaign over the last three months , with contributions from 262,000 Americans , the president 's campaign chairman said Tuesday . | President Bush has raised $ 83.9 million since beginning his re-election campaign in May , and has $ 70 million of that left to spend , his campaign said Tuesday ."
158,0,1,0.8173995614051819,"Morrill 's wife , Ellie , sobbed and hugged Bondeson 's sister-in-law during the service . | At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people consoled her ."
167,0,1,0.6570614576339722,"Christina 's aunt , Shelley Riling , said the defense 's claims were preposterous . | Christina 's aunt , Shelley Riling , said she will address the court ."
169,0,1,0.8341453075408936,"Lord Falconer hailed the changes as "" a new beginning as far as the courts , Crown Prosecution Service and police are concerned "" . | "" It 's a new beginning as far as the courts , Crown Prosecution Service and police are concerned , making the criminal justice system work better . """
174,0,1,0.8535385727882385,"The agency charged that one WD Energy worker discussed false reporting with traders at two other energy companies . | The agency found further that a WD Energy employee discussed false reporting with traders at two other energy companies , which the CFTC didn 't identify ."
177,0,1,0.5976664423942566,Q : Can I buy coverage for prescription drugs right away ? | Congress has added a new benefit - an option to buy insurance coverage for prescription drugs .
180,0,1,0.5665519833564758,"The chain operates more than 3,400 stores , and has annual revenue of about $ 15.8 billion . | The chain , which has been under new management since late 1999 , has more than 3,400 stores and $ 15.8 billion in annual revenue ."
181,0,1,0.7694990038871765,"All patients developed some or all of the symptoms of E. coli food poisoning : bloody diarrhea , vomiting , abdominal cramping and nausea . | Symptoms of the E. coli infection include bloody diarrhea , nausea , vomiting and abdominal cramping ."
186,0,1,0.5316746830940247,"But Chauncey Billups demonstrated he 's also capable of big games , scoring 77 points over the final two games against the Magic . | Billups scored 77 points in the final two games of the first-round series against the Magic ."
188,0,1,0.7128135561943054,"And it 's going to be a wild ride , "" said Allan Hoffenblum , a Republican consultant . | Now the rest is just mechanical , "" said Allan Hoffenblum , a Republican consultant ."
191,0,1,0.8056990504264832,"The WHO experts didn 't say how many cases in Hebei were in rural areas . | Hebei has reported 191 cases and eight deaths , though the WHO experts did not say how many were in rural areas ."
194,0,1,0.6453286409378052,"About two hours later , his body , wrapped in a blanket , was found dumped a few blocks away . | Then his body was dumped a few blocks away , found in a driveway on Argyle Road ."
201,0,1,0.863681972026825,"The world 's largest software company said it recognized the difficulty the multiple patches posed for companies , and set out to make it easier for them to apply the updates . | The world 's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them ."
209,0,1,0.8306705355644226,""" I had one bad stretch of holes that put me out of contention to win , "" Woods said . | "" I had one bad stretch of holes that put me out of contention , "" Woods said , referring to his 42 on the front nine Saturday ."
210,0,1,0.5868591666221619,The poll had a margin of error of plus or minus 2 percentage points . | It had a margin of sampling error of plus or minus four percentage points and was conducted Thursday through Saturday .
213,0,1,0.790352463722229,"Watertown , Saugus and Framingham also are going smoke-free Monday , joining a growing number of cities around the country . | Along with Boston , Watertown , Saugus and Framingham also are going smoke-free Monday ."
218,0,1,0.6138327717781067,"White , who had suffered kidney failure from years of high blood pressure , died at Cedars-Sinai Medical Center around 9 : 30 a.m. , said manager Ned Shankman . | White , who had kidney failure from years of high blood pressure , had been undergoing dialysis and had been hospitalized since a September stroke ."
227,1,0,0.5755001902580261,The Phillies were upset that Counsell had stolen second in the sixth inning with Arizona leading 7-1 . | The Phillies were apparently upset when Counsell stole during the sixth with the Diamondbacks up 7-1 .
235,0,1,0.7488892078399658,"He tried to fight off officers and was taken to a hospital after a police dog bit him but was later released . | Cruz tried to fight off officers and was hospitalized after a police dog bit him , Sgt. Steve Dixon said ."
237,0,1,0.8401374816894531,"Asked if the delegates could leave on Friday , police intelligence chief in Aceh , Surya Dharma , told reporters they could not because they did not have proper permission . | Asked if the delegates could leave on Friday , police intelligence chief Surya Dharma told reporters : "" Of course they may not go ."
239,0,1,0.8178766965866089,Iran has until the end of the month to satisfy the agency it has no plans for nuclear weapons . | The Iranians have until the end of the month to answer all the agency 's questions about their past nuclear activities .
246,1,0,0.5123686194419861,"Thus far , Stewart 's company appears ready to stand behind her . | For now , the company 's management appears to be standing behind Stewart ."
247,0,1,0.7714073657989502,"But late Thursday night , the campaign issued a statement saying there would be no news conference and no big announcement . | But late yesterday , the campaign and the state Democratic Party said there would be no news conference ."
251,0,1,0.8279184699058533,""" We think that the United States of America should support the free speech of all groups , "" Mr. White said , objecting to Mr. Olson 's recommendation . | We think that the United States of America should support the free speech of all groups , he said ."
