id,label,prediction,probability,input_text
13,1,0,0.7413009405136108,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
26,0,1,0.6784130930900574,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . "
28,0,1,0.5207515358924866,"it 's a cookie-cutter movie , a cut-and-paste job . "
33,0,1,0.6859502196311951,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . "
37,0,1,0.7787512540817261,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . "
42,1,0,0.6723726987838745,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 
45,0,1,0.714770495891571,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
46,0,1,0.5421127080917358,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
50,0,1,0.8901479840278625,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
57,0,1,0.5702069997787476,the cold turkey would 've been a far better title . 
62,1,0,0.7560387253761292,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 
64,0,1,0.6752780079841614,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . "
69,0,1,0.644980251789093,"this one is definitely one to skip , even for horror movie fanatics . "
70,0,1,0.7912057638168335,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
83,1,0,0.9192690849304199,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.5450106859207153,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
88,1,0,0.5071676969528198,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 
89,1,0,0.5900006294250488,"we know the plot 's a little crazy , but it held my interest from start to finish . "
93,1,0,0.600857675075531,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
95,0,1,0.9017929434776306,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
106,1,0,0.8728388547897339,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 
112,1,0,0.9862918257713318,hilariously inept and ridiculous . 
115,0,1,0.8845340609550476,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.766608476638794,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
121,0,1,0.6912606954574585,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so 
123,1,0,0.8579233288764954,turns potentially forgettable formula into something strangely diverting . 
136,0,1,0.8530972003936768,looks and feels like a project better suited for the small screen . 
145,0,1,0.6373574137687683,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 
149,1,0,0.5117918252944946,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . "
172,1,0,0.795746386051178,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
175,1,0,0.8461039662361145,"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves . "
176,0,1,0.5339180827140808,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . "
180,0,1,0.5858777165412903,"unfortunately , it 's not silly fun unless you enjoy really bad movies . "
183,0,1,0.8921557664871216,"the lower your expectations , the more you 'll enjoy it . "
186,1,0,0.5906214118003845,"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical . "
192,1,0,0.5643755197525024,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . "
194,1,0,0.8410898447036743,"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . "
195,1,0,0.6169241070747375,my thoughts were focused on the characters . 
201,1,0,0.5908562541007996,"inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat . "
205,1,0,0.7894381880760193,falls neatly into the category of good stupid fun . 
213,0,1,0.5454118251800537,"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . "
215,1,0,0.6253926753997803,"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . "
218,0,1,0.9908780455589294,"all that 's missing is the spontaneity , originality and delight . "
222,1,0,0.5187583565711975,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . "
236,1,0,0.5483020544052124,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . 
238,0,1,0.8107813596725464,"an occasionally funny , but overall limp , fish-out-of-water story . "
248,1,0,0.6547539234161377,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . "
249,1,0,0.9115013480186462,huston nails both the glad-handing and the choking sense of hollow despair . 
253,0,1,0.8469377756118774,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . "
261,1,0,0.5023748874664307,"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . "
266,1,0,0.6224051117897034,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . "
269,0,1,0.9328599572181702,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . "
271,1,0,0.5278095602989197,as unseemly as its title suggests . 
273,1,0,0.5707259774208069,"minority report is exactly what the title indicates , a report . "
274,0,1,0.7192150354385376,"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . "
282,1,0,0.6218207478523254,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer "
284,0,1,0.5607212781906128,directed in a paint-by-numbers manner . 
292,0,1,0.974299430847168,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . 
301,0,1,0.7887935638427734,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . "
312,0,1,0.8709254264831543,i 'll bet the video game is a lot more fun than the film . 
318,0,1,0.9162182211875916,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . 
322,0,1,0.7122134566307068,that 's pure pr hype . 
323,1,0,0.8619916439056396,a painfully funny ode to bad behavior . 
324,1,0,0.7850106954574585,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . "
332,1,0,0.5256383419036865,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . 
346,0,1,0.5403366088867188,"not only unfunny , but downright repellent . "
354,1,0,0.8959643840789795,"the film is quiet , threatening and unforgettable . "
356,0,1,0.5959910154342651,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . "
358,1,0,0.7416585683822632,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 
375,1,0,0.88526451587677,we have n't seen such hilarity since say it is n't so ! 
382,0,1,0.9036712646484375,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
